〔Book〕	〔KJVbook｜KJVchapter｜KJVverse〕	〔BHSbook｜BHSchapter｜BHSverse〕
18	〔18｜41｜2〕	〔18｜40｜26〕
18	〔18｜41｜30〕	〔18｜41｜22〕
18	〔18｜41｜31〕	〔18｜41｜23〕
18	〔18｜41｜32〕	〔18｜41｜24〕
18	〔18｜41｜33〕	〔18｜41｜25〕
18	〔18｜41｜34〕	〔18｜41｜26〕
18	〔18｜41｜3〕	〔18｜40｜27〕
18	〔18｜41｜4〕	〔18｜40｜28〕
18	〔18｜41｜5〕	〔18｜40｜29〕
18	〔18｜41｜6〕	〔18｜40｜30〕
18	〔18｜41｜7〕	〔18｜40｜31〕
18	〔18｜41｜8〕	〔18｜40｜32〕
18	〔18｜41｜9〕	〔18｜41｜1〕
19	〔19｜102｜10〕	〔19｜102｜11〕
19	〔19｜102｜11〕	〔19｜102｜12〕
19	〔19｜102｜12〕	〔19｜102｜13〕
19	〔19｜102｜13〕	〔19｜102｜14〕
19	〔19｜102｜14〕	〔19｜102｜15〕
19	〔19｜102｜15〕	〔19｜102｜16〕
19	〔19｜102｜16〕	〔19｜102｜17〕
19	〔19｜102｜17〕	〔19｜102｜18〕
19	〔19｜102｜18〕	〔19｜102｜19〕
19	〔19｜102｜19〕	〔19｜102｜20〕
19	〔19｜102｜1〕	〔19｜102｜1〕
19	〔19｜102｜1〕	〔19｜102｜2〕
19	〔19｜102｜20〕	〔19｜102｜21〕
19	〔19｜102｜21〕	〔19｜102｜22〕
19	〔19｜102｜22〕	〔19｜102｜23〕
19	〔19｜102｜23〕	〔19｜102｜24〕
19	〔19｜102｜24〕	〔19｜102｜25〕
19	〔19｜102｜25〕	〔19｜102｜26〕
19	〔19｜102｜26〕	〔19｜102｜27〕
19	〔19｜102｜27〕	〔19｜102｜28〕
19	〔19｜102｜28〕	〔19｜102｜29〕
19	〔19｜102｜2〕	〔19｜102｜3〕
19	〔19｜102｜3〕	〔19｜102｜4〕
19	〔19｜102｜4〕	〔19｜102｜5〕
19	〔19｜102｜5〕	〔19｜102｜6〕
19	〔19｜102｜6〕	〔19｜102｜7〕
19	〔19｜102｜7〕	〔19｜102｜8〕
19	〔19｜102｜8〕	〔19｜102｜9〕
19	〔19｜102｜9〕	〔19｜102｜10〕
19	〔19｜108｜10〕	〔19｜108｜11〕
19	〔19｜108｜11〕	〔19｜108｜12〕
19	〔19｜108｜12〕	〔19｜108｜13〕
19	〔19｜108｜13〕	〔19｜108｜14〕
19	〔19｜108｜1〕	〔19｜108｜1〕
19	〔19｜108｜1〕	〔19｜108｜2〕
19	〔19｜108｜2〕	〔19｜108｜3〕
19	〔19｜108｜3〕	〔19｜108｜4〕
19	〔19｜108｜4〕	〔19｜108｜5〕
19	〔19｜108｜5〕	〔19｜108｜6〕
19	〔19｜108｜6〕	〔19｜108｜7〕
19	〔19｜108｜7〕	〔19｜108｜8〕
19	〔19｜108｜8〕	〔19｜108｜9〕
19	〔19｜108｜9〕	〔19｜108｜10〕
19	〔19｜12｜1〕	〔19｜12｜1〕
19	〔19｜12｜1〕	〔19｜12｜2〕
19	〔19｜12｜2〕	〔19｜12｜3〕
19	〔19｜12｜3〕	〔19｜12｜4〕
19	〔19｜12｜4〕	〔19｜12｜5〕
19	〔19｜12｜5〕	〔19｜12｜6〕
19	〔19｜12｜6〕	〔19｜12｜7〕
19	〔19｜12｜7〕	〔19｜12｜8〕
19	〔19｜12｜8〕	〔19｜12｜9〕
19	〔19｜13｜1〕	〔19｜13｜1〕
19	〔19｜13｜1〕	〔19｜13｜2〕
19	〔19｜13｜2〕	〔19｜13｜3〕
19	〔19｜13｜3〕	〔19｜13｜4〕
19	〔19｜13｜4〕	〔19｜13｜5〕
19	〔19｜13｜5〕	〔19｜13｜6〕
19	〔19｜13｜6〕	〔19｜13｜6〕
19	〔19｜140｜10〕	〔19｜140｜11〕
19	〔19｜140｜11〕	〔19｜140｜12〕
19	〔19｜140｜12〕	〔19｜140｜13〕
19	〔19｜140｜13〕	〔19｜140｜14〕
19	〔19｜140｜1〕	〔19｜140｜1〕
19	〔19｜140｜1〕	〔19｜140｜2〕
19	〔19｜140｜2〕	〔19｜140｜3〕
19	〔19｜140｜3〕	〔19｜140｜4〕
19	〔19｜140｜4〕	〔19｜140｜5〕
19	〔19｜140｜5〕	〔19｜140｜6〕
19	〔19｜140｜6〕	〔19｜140｜7〕
19	〔19｜140｜7〕	〔19｜140｜8〕
